bigram;freq;percentile_100;freq10;freq20;freq30_50
yk;4;1,2;;LF;LF
yl;343;5,6;;;
ym;327;5,6;;;
yn;320;5,5;;;
yo;250;5,3;;;
yp;466;5,9;;;
yq;6;1,6;;LF;LF
yr;273;5,4;;;
ys;507;6;;;
yt;241;5,2;;;
yu;14;2,5;;;LF
yv;9;2;;LF;LF
yw;4;1,2;;LF;LF
yx;36;3,2;;;LF
yz;9;2;;LF;LF
za;166;4,8;;;LF
zb;4;1,2;;LF;LF
zd;4;1,2;;LF;LF
ze;134;4,6;;;LF
zi;168;4,8;;;LF
zl;7;1,8;;LF;LF
zm;1;0;LF;LF;LF
zn;1;0;LF;LF;LF
zo;258;5,3;;;
zs;5;1,5;;LF;LF
zt;2;0,6;LF;LF;LF
zu;21;2,8;;;LF
zw;1;0;LF;LF;LF
zy;43;3,4;;;LF
zz;37;3,3;;;LF
ud;391;70;;;
ue;478;72;;;HF
uf;148;60;;;
ug;416;70;;;HF
uh;4;27;;;LF
ui;498;73;;;HF
uj;5;29;;;LF
uk;24;41;;;LF
ul;1353;88;;HF;HF
um;828;81;;HF;HF
un;1987;93;HF;HF;HF
uo;152;61;;;
up;973;83;;HF;HF
uq;1;17;;LF;LF
ur;1573;90;HF;HF;HF
us;2225;94;HF;HF;HF
ut;1502;90;;HF;HF
uu;9;32;;;LF
uv;33;44;;;LF
uw;0;0;LF;LF;LF
ux;33;44;;;LF
uy;21;40;;;LF
uz;36;45;;;LF
va;545;74;;;HF
vb;0;0;LF;LF;LF
vc;2;23;;;LF
vd;1;17;;LF;LF
ve;2397;95;HF;HF;HF
vf;0;0;LF;LF;LF
vg;0;0;LF;LF;LF
vh;1;17;;LF;LF
vi;858;81;;HF;HF
vj;0;0;LF;LF;LF
vk;0;0;LF;LF;LF
vl;0;0;LF;LF;LF
vm;0;0;LF;LF;LF
vn;0;0;LF;LF;LF
vo;287;66;;;
vp;1;17;;LF;LF
vq;0;0;LF;LF;LF
vr;5;29;;;LF
vs;1;17;;LF;LF
vt;1;17;;LF;LF
vu;46;47;;;LF
vv;9;32;;;LF
vw;0;0;LF;LF;LF
vx;0;0;LF;LF;LF
vy;51;48;;;LF
vz;0;0;LF;LF;LF
wa;949;83;;HF;HF
wb;19;39;;;LF
wc;3;25;;;LF
wd;60;50;;;LF
we;644;77;;;HF
wf;21;40;;;LF
wg;3;25;;;LF
wh;313;67;;;
wi;646;77;;;HF
wj;0;0;LF;LF;LF
wk;22;40;;;LF
wl;105;55;;;
wm;13;35;;;LF
wn;351;69;;;
wo;483;72;;;HF
wp;9;32;;;LF
wq;0;0;LF;LF;LF
wr;113;56;;;
ws;72;52;;;
wt;14;36;;;LF
wu;4;27;;;LF
wv;0;0;LF;LF;LF
ww;1;17;;LF;LF
wx;0;0;LF;LF;LF
wy;13;35;;;LF
wz;0;0;LF;LF;LF
xa;60;50;;;LF
xb;1;17;;LF;LF
xc;92;54;;;
xd;0;0;LF;LF;LF
xe;67;51;;;
xf;5;29;;;LF
xg;2;23;;;LF
xh;31;43;;;LF
xi;149;60;;;
xj;0;0;LF;LF;LF
xk;0;0;LF;LF;LF
xl;4;27;;;LF
xm;1;17;;LF;LF
xn;1;17;;LF;LF
xo;35;45;;;LF
xp;149;60;;;
xq;3;25;;;LF
xr;0;0;LF;LF;LF
xs;1;17;;LF;LF
xt;137;59;;;
xu;35;45;;;LF
xv;0;0;LF;LF;LF
xw;3;25;;;LF
xx;0;0;LF;LF;LF
xy;16;37;;;LF
xz;0;0;LF;LF;LF
ya;126;58;;;
yb;42;46;;;LF
yc;96;55;;;
yd;44;47;;;LF
ye;214;64;;;
