bigram;freq;percentile_100;freq10;freq20;freq30_50
vw;1;0;LF;LF;LF
vy;634;3,36;;;LF
vz;2;0,22;LF;LF;LF
wa;12413;5,66;;;
wä;9;0,92;LF;LF;LF
wå;23;1,3;;LF;LF
wb;278;2,81;;;LF
wc;31;1,54;;LF;LF
wd;350;3;;;LF
we;16038;5,95;;;
wf;85;2;;LF;LF
wg;18;1,2;;LF;LF
wh;8200;5,25;;;
wi;13145;5,78;;;
wj;51;1,72;;LF;LF
wk;28;1,43;;LF;LF
wl;583;3,3;;;LF
wm;60;1,76;;LF;LF
wn;2907;4,28;;;LF
wo;7485;5,15;;;
wö;29;1,46;;LF;LF
wp;29;1,46;;LF;LF
wr;1067;3,59;;;LF
ws;1121;3,62;;;LF
wt;230;2,69;;;LF
wu;23;1,3;;LF;LF
wv;3;0,42;LF;LF;LF
ww;66;1,83;;LF;LF
wy;60;1,76;;LF;LF
xa;14077;5,86;;;
xä;2;0,22;LF;LF;LF
xå;523;3,21;;;LF
xb;221;2,68;;;LF
xc;693;3,42;;;LF
xd;133;2,26;;;LF
xe;11822;5,6;;;
xé;5;0,66;LF;LF;LF
xf;528;3,23;;;LF
xg;57;1,74;;LF;LF
xh;196;2,57;;;LF
xi;5421;4,84;;;LF
xj;128;2,25;;;LF
xk;650;3,39;;;LF
xl;1949;3,94;;;LF
xm;136;2,27;;;LF
xn;1718;3,83;;;LF
xo;5673;4,92;;;LF
xö;13;1,07;;LF;LF
xp;4118;4,6;;;LF
xq;5;0,66;LF;LF;LF
xr;98;2,09;;;LF
xs;205;2,6;;;LF
xt;19732;6,12;;;
xu;819;3,48;;;LF
xv;217;2,65;;;LF
xw;6;0,77;LF;LF;LF
xx;144;2,34;;;LF
xy;136;2,27;;;LF
xz;1;0;LF;LF;LF
ya;23543;6,3;;;
yä;9;0,92;LF;LF;LF
yå;1760;3,89;;;LF
yb;2044;4,01;;;LF
yc;107085;8,32;;HF;HF
yd;20581;6,15;;;
ye;5812;4,98;;;LF
yf;8289;5,28;;;
yg;41352;6,96;;;
yh;3146;4,33;;;LF
yi;1184;3,64;;;LF
yj;526;3,22;;;LF
yk;17084;6;;;
yl;25567;6,36;;;
ym;18258;6,07;;;
yn;20870;6,19;;;
yo;12253;5,65;;;
yö;101;2,13;;;LF
yp;13868;5,84;;;
yr;26537;6,42;;;
ys;47334;7,19;;;HF
yt;40219;6,92;;;
