bigram;freq;percentile_100;freq10;freq20;freq30_50
hi;2003;77;;;HF
hj;3;15;;LF;LF
hk;5;19;;LF;LF
hl;56;30;;;LF
hm;26;26;;;LF
hn;194;44;;;LF
ho;5285;91;HF;HF;HF
hp;8;21;;;LF
hq;0;0;LF;LF;LF
hr;965;65;;;
hs;13;23;;;LF
ht;5397;91;HF;HF;HF
hu;1844;76;;;HF
hv;3;15;;LF;LF
hw;10;22;;;LF
hx;0;0;LF;LF;LF
hy;285;50;;;LF
hz;5;19;;LF;LF
ia;1258;70;;;
ib;542;56;;;
ic;3030;84;;HF;HF
id;6609;93;HF;HF;HF
ie;17275;99;HF;HF;HF
if;1031;66;;;
ig;6482;93;HF;HF;HF
ih;56;30;;;LF
ii;108;36;;;LF
ij;11173;97;HF;HF;HF
ik;2173;79;;;HF
il;3511;86;;HF;HF
im;1715;75;;;HF
in;19507;100;HF;HF;HF
io;1414;72;;;HF
ip;1231;69;;;
iq;42;28;;;LF
ir;1084;67;;;
is;8869;96;HF;HF;HF
it;6378;93;HF;HF;HF
iu;476;55;;;
iv;917;64;;;
iw;61;31;;;LF
ix;69;32;;;LF
iy;0;0;LF;LF;LF
iz;473;54;;;
ja;1012;66;;;
jb;124;39;;;LF
jc;13;23;;;LF
jd;1367;71;;;HF
je;2604;82;;HF;HF
jf;731;61;;;
jg;260;48;;;LF
jh;101;36;;;LF
ji;73;33;;;LF
jj;2;13;;LF;LF
jk;2502;81;;HF;HF
jl;316;51;;;
jm;197;45;;;LF
jn;1454;73;;;HF
jo;561;57;;;
jp;332;52;;;
jq;0;0;LF;LF;LF
jr;15;24;;;LF
js;1035;66;;;
jt;319;51;;;
ju;347;52;;;
jv;435;54;;;
jw;78;34;;;LF
jx;0;0;LF;LF;LF
jy;0;0;LF;LF;LF
jz;549;57;;;
ka;3560;87;;HF;HF
kb;486;55;;;
kc;61;31;;;LF
kd;167;42;;;
ke;8166;95;HF;HF;HF
kf;55;30;;;LF
kg;243;47;;;LF
kh;850;63;;;
ki;1973;77;;;HF
kj;270;49;;;LF
kk;2231;79;;;HF
kl;2506;81;;HF;HF
km;188;44;;;LF
kn;787;62;;;
ko;3570;87;;HF;HF
kp;261;49;;;LF
kq;0;0;LF;LF;LF
kr;2253;79;;;HF
ks;1732;75;;;HF
kt;1386;72;;;HF
ku;1095;68;;;
kv;267;49;;;LF
